,Label,data,1-hexadecanol,1-monostearin,"1,2,4-benzenetriol","1,5-anhydroglucitol",2-aminoadipic acid,2-hydroxybutanoic acid,2-hydroxyglutaric acid,2-hydroxyvaleric acid,2-ketoadipic acid,2-ketoglucose dimethylacetal NIST,2-oxogluconic acid NIST,3-hydroxybutanoic acid ,3-phosphoglycerate,4-hydroxybenzoate,5'-deoxy-5'-methylthioadenosine,abietic acid,adenine,adenosine,adenosine-5-monophosphate,adipic acid,alanine,alpha ketoglutaric acid,aminomalonate,arabinose,arachidic acid,arachidonic acid,arachidonic acid isomer,arginine + ornithine,asparagine,aspartic acid,azelaic acid,behenic acid,benzoic acid,benzylalcohol,beta-alanine,capric acid,cholesterol,citric acid,citrulline,conduritol-beta-epoxide,creatinine,cysteine,cysteine-glycine,cystine,cytidine-5'-diphosphate,cytidine-5-monophosphate NIST,dehydroascorbate,dihydroabietic acid,dodecanol,elaidic acid,erythronic acid lactone,ethanolamine,FAD,fructose,fucose 1 + rhamnose 2,fumaric acid,gluconic acid,glucose,glucose-6-phosphate,glucuronic acid,glutamic acid,glutamine,glutathione,glyceric acid,glycerol,glycerol-alpha-phosphate,glycerol-beta-phosphate,glycine,glycolic acid,guanine,guanosine,heptadecanoic acid,homoserine,hydroxycarbamate NIST,hydroxylamine,hypoxanthine,icosenoic acid,idonic acid NIST,inosine,inosine 5'-monophosphate,inositol-4-monophosphate,inositol allo-,inositol myo-,inulobiose,isoleucine,isothreonic acid,lactic acid,lauric acid,leucine,levoglucosan,lignoceric acid,linoleic acid,lysine,lyxitol,malate,maltose,maltotriose,mannitol,methanolphosphate,methionine,monopalmitin-1-glyceride,myristic acid,N-acetyl-D-mannosamine,N-acetylaspartate,N-methylalanine,nicotinamide,O-acetylserine,octadecanol,oleic acid,ornithine,oxalic acid,oxoproline,p-hydroquinone,palmitic acid,palmitic acid butyl ester NIST,palmitoleic acid,pantothenic acid,pelargonic acid,pentadecanoic acid,phenylalanine,phosphoethanolamine,phosphogluconic acid,phosphoric acid,phthalic acid,pimaric acid NIST,proline,"propane-1,3-diol NIST",pseudo uridine,putrescine,"pyrazine 2,5-dihydroxy  NIST",pyrogallol,pyrophosphate,pyruvate,ribonic acid,ribose,ribose-5-phosphate,ribulose-5-phosphate,salicylic acid,serine,sorbitol,spermidine,stearic acid,succinic acid,sucrose,taurine,threitol,threonic acid,threonine,tocopherol alpha,tocopherol beta NIST,tocopherol gamma-,trans-4-hydroxyproline,trehalose,tryptophan,tyrosine,uracil,urea,uric acid,uridine,uridine-5'-monophosphate,valine,xanthine
ERn_train_1,NEG,data3,-0.002730343,-0.47480065,-0.249477509,0.305652787,0.70357746,-0.954493469,-0.811298053,0.241046916,-0.099547706,-0.841341068,-0.323440452,0.365766599,-0.60316607,-0.171514946,-1.268406287,2.477525152,-0.881663448,0.424115451,-0.22302261,0.92165656,0.130546892,-0.317252595,-0.044694909,-0.483692695,0.06331945,-0.000123468,0.425714534,0.691877574,-1.523757965,0.69129635,0.515911517,1.23004212,0.602764191,0.212332772,-0.853883008,-0.938433233,-0.101833391,-1.473970494,-0.1984107,-0.657137524,-0.396535606,-0.840462394,-0.632684549,-1.111909332,1.015952442,0.453287296,-0.416254024,2.399923626,1.268751249,1.385887999,-0.398129626,0.509887319,1.03263508,-0.350494553,-0.597144027,0.894101511,0.020730565,-0.204070559,-0.948831737,0.257258216,-0.185841386,-1.492091916,0.9127217,0.689258624,0.321334755,1.838709291,0.710367668,1.038987779,-0.19304947,0.023372713,-0.441091201,0.013136053,0.052264953,-0.260337519,0.475258713,0.400475796,-0.907146275,0.356161614,-0.253083627,0.576072965,-0.993270179,1.254744347,0.557741011,0.48420199,0.415965578,-1.14210308,-1.049719704,-0.361005339,0.017094238,-0.498883358,1.121922692,0.47949657,-0.139550767,-0.690528376,1.053416261,1.737409648,1.460010949,-0.549333936,-0.008574848,-0.489377596,0.382696046,-0.260478419,-0.589561056,0.17681802,-1.08617334,1.30166515,0.096439441,-0.883150204,-0.837557795,-0.510834117,1.247534025,1.352288372,-0.312201907,0.571405281,0.726438629,-1.146605036,-0.935727556,0.826798478,-0.494413406,1.907660746,0.790688895,0.333781516,-1.239579882,-0.2720306,2.031357152,-1.401269244,-0.092015998,-0.649406008,0.209822085,-0.289710986,-0.528166982,-1.474885114,-0.969944285,1.415936721,-1.925065335,-0.545692124,0.056131608,-0.210471888,0.653894923,0.196168511,-1.157855646,0.352499816,1.587290793,0.654472558,-1.148342547,-0.418572433,1.626660507,0.723556861,0.678057058,0.290709969,-0.058344034,-0.688542823,1.341115597,-0.884977567,0.561022248,-0.112832494,-1.262121654,-0.982722278,-2.063474969,0.03120411,-0.90336162,-0.18849186
ERn_train_2,NEG,data3,0.946409484,0.976408766,0.480846641,-1.741168667,0.210037902,-0.156612183,0.363738363,1.823875558,1.422138593,-0.841341068,-0.323440452,1.052903725,-1.540792533,1.794851376,-0.707083671,0.896311256,-0.881663448,0.074135594,-0.944159091,1.696058834,-0.413876348,0.706401233,-2.107238892,-0.961640666,2.811739124,0.244925614,0.100910867,-0.955912246,1.145654565,-1.037531977,1.377198872,1.993485799,1.386028771,1.279297486,0.084152882,-0.589220081,0.385220805,-0.727354597,-2.069817964,0.360969782,-1.198840441,-3.735271958,-0.048648856,-0.911726362,-0.113376749,-1.984734817,-0.377521811,1.748961976,0.902879476,-0.260870464,1.173675248,1.063646628,0.226408367,0.216452472,-0.393594116,-0.86390346,-0.054630743,-1.127571062,-0.864736312,-0.011516159,0.107629097,0.521316945,-0.634744473,-0.273638726,1.007572386,-0.242146544,-0.707300563,-2.044824207,0.751049498,-0.478777078,-1.502325318,2.443846504,-0.326132938,0.014745056,2.057734398,-0.984271556,1.482159781,-0.57892011,-2.679912998,-1.691586448,0.095211762,-0.173568374,0.872854653,0.207828178,-0.536198127,-0.822524619,0.690884328,0.38084913,-1.230882319,0.830887408,1.505036703,0.950553964,-2.192932531,-0.846226088,-0.733291602,0.749216818,-0.370370808,0.377878654,-1.138113867,-2.59408764,1.306293973,2.453530946,-0.33950414,0.054141835,0.308467754,-0.476696978,0.588076249,1.14564359,1.533067243,-2.023494943,0.548026831,-1.546897573,1.914097949,3.073141152,1.56873768,1.481418822,-0.883017372,1.759656625,1.717379879,-2.040627654,-0.69529137,-1.031859187,-1.239579882,1.166960795,0.468100949,-0.165421462,1.992341609,-1.034307887,0.589199744,-1.791733189,0.24494622,-0.960693821,-0.456101643,-0.856505562,0.098027634,-0.34308879,-0.393190056,1.771299502,-0.558904069,-0.167760873,-0.872915874,3.130232604,-0.366387155,2.234251568,-1.636663897,1.075371268,-0.866509741,-0.322476169,1.366875398,1.676985511,0.380217858,1.446557502,0.156211837,-1.23701249,-2.193558685,-0.814092309,-0.211955598,-0.665422821,-1.244871347,-0.448882766,-1.163227222,-0.654253271
ERn_train_3,NEG,data3,-0.64767876,-1.503316995,0.045832017,-0.551214622,-0.313284609,-0.475419674,1.572869505,0.525067789,-0.618750955,-0.841341068,-0.650305961,-0.51935272,-0.732693065,-1.309492243,0.715163953,-1.011101805,-0.042083615,0.248290962,-0.561961445,-0.356949237,0.975859329,-0.134371403,-0.044694909,-0.748105322,-1.006465586,1.547266506,1.348376302,0.313594502,0.453075121,0.69129635,-1.494087782,-1.037023968,-0.037436847,0.149033488,1.268002989,-1.131510207,-0.540087685,-0.645659833,0.66963499,0.916483797,-0.26011689,-0.620973579,-0.758097186,0.375065069,0.697687488,0.968306397,-1.040947131,-0.50116428,-0.759382551,-0.639232724,-1.168429476,0.509887319,0.621448599,0.110500082,0.399729759,0.989931679,-0.129571826,-0.560687583,1.791137455,0.416280409,0.937095167,0.25352747,-0.222995966,-0.00780664,0.321334755,-0.480435535,0.077773879,-0.195191381,-0.19304947,0.264755348,0.960785741,-1.609455494,0.123299768,-1.438040352,-0.294686734,1.260941756,-1.445526404,1.342274375,0.516262176,0.061033029,-0.02044635,0.253307392,-0.132521077,1.961076135,1.039228228,-0.757042698,0.857183138,-0.480236619,-0.133461076,-0.180553028,-0.942385964,0.563368233,-0.139550767,0.038001932,1.190853598,0.267318011,0.024728252,-1.661880884,0.28460366,0.566894012,0.49250843,-1.492430267,-0.904090565,-0.274670545,-0.393363539,1.370025685,1.321228033,-1.675251396,0.209614024,0.255611687,0.86523776,0.466008024,-0.828652614,-1.140487329,-0.542863909,-0.693658094,0.539170605,-0.475785411,-1.251884891,1.09895794,-0.69529137,0.657415133,0.72473516,0.00852662,-1.100079254,0.045680168,-0.156978291,0.419402077,-0.474445997,1.270323576,-0.270698514,0.685804984,-0.410321841,0.913676399,1.330946041,-0.617366947,-0.63365101,-1.548657585,-0.250902474,0.019261903,-0.599532656,-1.29160266,-0.87425796,0.553189031,-1.406080163,-0.418572433,-0.803575499,0.459760825,-0.001895764,-0.016418028,0.349226045,1.383952489,0.23184342,-0.670123656,0.333722762,1.079932374,-0.725957732,0.133516846,0.857043419,-0.11688049,0.439481289,2.896607973
ERn_train_4,NEG,data3,1.595684713,1.532541302,1.025609593,0.922611813,-1.255385875,1.073260186,-0.480672552,2.229372572,2.217661895,-0.841341068,0.846599678,3.324980382,-0.68862517,0.665841435,0.009189731,-0.259578093,-0.467591192,-0.65691074,-2.765120635,1.897377068,-0.65627728,1.359581308,-2.536785722,0.081299301,1.878756361,-1.502290442,-0.907990313,-0.313496484,2.659917428,-2.918155066,1.060866943,2.067140276,3.313478473,1.501015779,0.985352416,0.606177832,0.994256804,1.525066204,-2.823645016,-2.17350815,-3.275359718,-1.975565418,-0.302971943,0.485524225,1.360230787,-1.852995088,0.370709354,0.191276128,2.397083225,-1.214707227,0.815602279,1.433146017,-0.631101134,0.381323834,-0.083716725,-1.62918092,0.98749271,1.233467505,-0.003913576,0.723489987,-0.829554627,-0.760300223,-1.972083304,-1.118976478,1.965539034,-0.112687046,-0.642656899,-2.61962289,1.44147861,-1.295324087,0.458109118,1.709000914,-0.104169218,1.482675832,2.987502857,-2.147367424,-0.08066099,-0.409550371,-0.397476462,-0.828601082,-1.212479117,0.571493369,-0.132521077,1.208192693,0.121478768,-1.016770375,-0.870055555,0.729316296,-0.781152341,0.948639248,1.586082297,-1.072109939,-2.398684569,0.485536853,-1.668993373,2.014803071,1.107527353,-0.549333936,-0.697428406,-3.557558184,0.980581083,2.143896611,0.500199349,0.260305078,0.865352472,-0.676996214,0.096439441,1.498888433,-1.861074706,-1.666379137,-0.682761979,-1.183266618,2.557640517,2.117520108,-2.48620292,0.672735556,-0.037783141,2.770578448,2.035903368,-3.280347816,-1.647689832,0.401772166,-0.35644268,1.891863629,0.658956101,-0.919110499,3.561116776,1.142738779,1.48353973,-3.656731973,0.838638813,-1.089659931,0.464881382,-1.269382901,0.376441299,-0.686450829,0.330727259,3.977668444,-1.122242387,0.111074552,0.984384903,1.427813499,-0.941217835,1.845176225,-1.855132088,0.503521996,-0.300847881,-2.481078578,-2.513512348,0.063209343,-0.692197092,0.622703884,2.062765176,-1.156941779,-3.064377591,-1.589848747,0.397715637,0.472589547,-3.171954086,-0.448882766,-0.397588632,0.138397811
ERn_train_5,NEG,data3,-0.612099922,-1.241253115,0.860773361,-0.383697755,0.861812745,0.683588659,-0.052010229,0.077143826,-0.689749098,-0.841341068,0.367349564,0.680170829,-0.60316607,-0.655714632,-1.020118019,-1.343323319,-1.152958651,-1.294572025,-0.151933044,-0.66821032,-0.65627728,-0.919896554,0.479714196,0.142903704,-1.727590869,0.406727058,0.425714534,0.313594502,-0.319996463,-0.044120645,-0.90032426,-1.204828952,-1.530795789,0.307625538,-0.57430678,-0.122543229,0.385220805,-1.804153212,0.235085421,1.037939704,1.160781852,1.422272733,-1.158107432,1.468558916,0.771313753,0.592461345,-0.538137497,-0.987505316,-1.506264535,-0.216712138,-0.665235398,0.509887319,0.783696481,1.401789797,-0.851481307,0.711025133,-0.942456466,0.392958652,-0.683636387,0.168564659,-0.185841386,-0.379369914,-1.092885878,0.496738703,-0.888893025,0.573713425,1.053338204,1.038987779,0.366004761,1.204442195,-0.151343197,-1.417891899,-0.104169218,-0.185248101,-1.160839784,1.42046595,-0.616337642,0.356161614,0.054617979,-0.078482494,-0.370500355,-0.872976636,0.557741011,0.32965393,0.415965578,0.704056468,-0.558647694,-0.288435419,0.158107202,-0.241667441,-0.238384372,0.400604376,-0.926172497,-0.013610566,1.190853598,0.479413597,0.237057842,-0.200344945,0.28460366,0.566894012,-1.391935509,-1.398920238,0.824989068,-0.551748795,0.718922424,-0.834596537,1.059358359,-0.611764218,0.284734935,0.475983401,1.429453796,0.466008024,0.494135398,-0.866208572,-0.585511412,-0.732273222,-0.34966544,-0.166583709,-0.748043709,0.30698428,-0.054742665,0.401772166,-0.35644268,-0.431617611,-0.146358867,-0.724490144,-0.227288293,1.031749362,-0.714854532,0.426022868,0.993077267,0.081826961,-0.043815535,0.586307568,0.58256906,0.40548417,-0.287181066,-0.633039848,-0.250902474,-0.11883783,-0.712984723,-1.29160266,0.381938185,0.172854104,1.186225855,-0.125941938,0.926500476,-0.61496846,0.984798722,1.902896348,1.513449143,0.094399552,0.421597495,-0.385637775,0.119715875,1.079932374,0.676038504,1.567098218,1.019379172,-0.662670015,0.125003435,0.197293627
ERn_train_6,NEG,data3,0.731335141,-0.583066046,0.616353116,-0.551214622,0.024128359,-1.334668673,-0.57484142,-0.00166341,-0.027348656,-0.841341068,0.05860602,-1.111533175,0.117476322,0.548530157,-0.428771984,-0.311600058,0.393866017,0.424115451,-0.320103595,0.984276547,0.130546892,-0.646059374,1.09519501,-0.417175827,-0.389629191,-0.000123468,0.072179071,0.313594502,1.567970451,0.515385347,0.064996287,-0.530896537,-0.740250386,0.339722892,-0.57430678,0.267548525,0.994256804,-0.006719854,0.746229216,0.800486516,0.641909469,2.015405481,-0.513121441,2.321385768,0.616132187,0.968306397,0.813458175,-0.42172435,-0.701949661,-1.280553683,-0.038352998,0.337799045,0.066502828,-1.466795383,-0.146018518,0.509455017,-0.688860448,-1.251515225,0.062143948,2.260525369,0.363166936,0.383014736,-2.17676157,0.811547133,-0.888893025,-1.72087656,-1.535122337,-0.195191381,-0.083514508,-0.096977961,0.458109118,-0.532566899,0.438729312,-0.473441751,-0.539732809,0.400475796,0.877811743,0.016348801,1.027335889,0.529383593,0.529208292,-0.103482901,0.557741011,-0.26448681,0.415965578,-1.016770375,-0.374156171,0.301111953,0.296877563,0.009908904,-0.942385964,0.03383834,-1.084350007,-0.119890007,-0.246563864,0.530537942,-3.630314484,-1.266119892,1.094647276,0.772441357,-1.015896055,-0.06055938,0.500199349,-0.416231288,0.172753897,1.165309105,0.49226626,0.568403373,-0.984856612,1.11807668,1.429453796,0.466008024,0.381966721,-1.000768286,-0.702606542,-0.776991451,1.095656924,-0.27578767,-0.320320461,-0.179225136,-0.780635996,0.845522929,0.72473516,1.013773129,-1.507442936,-0.724490144,-0.567807344,-0.556797314,0.297481507,-1.382609385,0.598632946,0.140906296,0.333475254,0.085719708,-0.238769892,-0.273765159,-1.185778024,-0.794484293,1.02477336,-1.016428699,-0.110806108,0.003500675,3.112582232,0.341062167,0.402728956,0.735721072,1.015374888,0.459760825,-0.001895764,-0.137490165,-0.159497433,-0.025964757,0.728978326,-0.527605132,0.119715875,1.079932374,-0.725957732,0.133516846,0.703859961,-0.662670015,0.125003435,1.429518508
ERn_train_7,NEG,data3,-0.707255774,0.003905908,0.480846641,-0.079312531,-0.257422272,-0.475419674,2.841648168,-0.917998495,-0.226378579,-0.841341068,-0.650305961,-1.060052277,0.86468079,-0.478218784,0.605925574,-0.547817656,0.462626046,-1.404155059,0.37985743,-0.607411914,0.130546892,0.706401233,0.208970637,0.949219454,-0.11235739,-0.142942457,0.238660879,0.098966592,-0.22244527,-1.803657687,0.761891989,0.274112068,-1.255575706,0.611669788,1.717998873,0.267548525,-0.101833391,-0.006719854,0.14503778,1.423606436,0.287497944,0.421075937,-0.758097186,-0.016209935,0.008086541,0.913412618,0.783435575,-0.836446893,-0.701949661,-0.020445831,-0.515733379,0.761828883,-1.032076908,0.060083495,-0.522554665,-0.596222344,2.42595095,-0.053161893,0.028827993,-0.212229165,-0.641381908,0.67047327,-1.161521609,-1.34989111,0.033293071,-0.812350874,0.490612274,-0.195191381,0.134579359,0.561527868,-0.261237638,-0.532566899,0.25989201,-2.18888937,-0.294686734,-0.861540859,0.431076596,1.065939454,-1.060469456,-0.70043564,0.095211762,-0.038202883,1.660965527,0.569071735,0.121478768,-0.351175959,-0.422195583,0.141300668,0.296877563,-0.116250493,-0.155801228,-0.988423367,-0.139550767,-0.745277791,-1.291498455,3.302417235,3.346659198,-0.852008285,0.590400023,-0.489377596,0.18675722,0.856921386,1.365825741,1.143323394,-0.393363539,-1.249561493,-1.108790561,0.649735654,-0.233059872,0.085747149,1.069592895,-0.779145119,0.142656426,-0.427448793,-0.624143924,-0.089657325,-0.401335287,-0.952004146,-0.494413406,-0.179225136,0.790688895,0.553890961,0.72473516,-0.2720306,-0.278443128,0.281201111,0.277615464,-0.848729542,-0.178769265,0.481667769,0.441503536,0.344773281,0.376018378,-0.429161423,-1.003875072,0.642894706,-0.019932245,-0.379231232,-0.865375724,0.196168511,-0.653786053,-0.31053085,-0.366387155,-0.033982256,-1.148342547,-1.473607952,-0.237280907,0.194015866,-0.948629125,-1.130739055,-1.203836855,0.797380763,2.594048096,0.262191708,-0.358225344,-0.004140328,-1.017845444,-0.76682193,0.133666063,-0.278917854,1.629760942,0.138397811
ERn_train_8,NEG,data3,0.519303483,-0.583066046,0.161180274,0.8385733,0.812498601,0.94629262,-0.744175051,0.691172798,0.353808708,-0.841341068,2.426329654,-0.115476237,-0.434043367,0.365127335,-0.517944392,-0.753417011,0.393866017,1.381218675,-0.151933044,-0.94248902,-0.413876348,0.312887744,0.371630005,-0.820532278,-0.561543574,0.711835883,0.602484142,0.969874375,-0.641483928,0.515385347,-0.439641975,-0.131767492,1.111291792,0.687081655,-0.448392056,-0.419936617,-0.540087685,1.091674953,1.085575873,1.291557695,0.516631936,0.207483359,-0.513121441,0.147721299,0.008086541,-1.099027803,-0.14210061,-0.726440595,-0.759382551,0.277546597,0.951412074,0.509887319,-1.315335436,0.110500082,0.213245379,0.509455017,-0.688860448,1.362006108,-1.383337122,-0.434572252,-0.185841386,-0.096704858,1.703838611,1.326522863,0.18202738,0.024203712,0.146900857,1.038987779,0.420581403,-0.353823292,0.067466424,-0.257661407,0.495560353,-1.32102554,0.160377021,-1.095479888,-0.204871345,-1.203159425,-0.675026822,-0.205035042,-1.212479117,0.718280732,0.872854653,-0.985785784,-0.191938623,-0.229794875,-1.583129736,0.214095184,0.64066171,-0.180553028,-0.155801228,0.788662995,0.035271737,-0.586575846,-0.454735519,-0.441530522,-0.489592162,-0.327194322,-0.061243717,0.178604957,-2.33855513,0.024878288,0.116755572,-0.169778069,0.308467754,-0.6205242,-0.496124304,0.142412297,0.984746601,0.642129685,-0.152074152,0.466008024,-0.466322056,-0.427448793,-0.075064578,-0.204537885,-0.731018128,0.558213379,0.184016426,0.820157304,0.490195013,0.298686541,-0.35644268,-0.955500046,-0.478529982,-0.919110499,0.198221005,-0.375649666,0.121822338,-0.111675617,0.044117782,-0.210383244,1.295999846,-0.041137458,0.673304075,0.346888022,-0.63365101,-0.210471888,0.653894923,0.288682692,0.247442716,-0.647532272,-0.366387155,-0.196188456,0.96806459,-0.091780813,0.842247759,-0.61496846,0.070677243,0.529813481,1.24066516,-0.741547821,-0.498208311,-0.158589864,0.333722762,-0.890603746,0.985352805,0.079072248,0.347300806,-0.448882766,-0.156868686,0.138397811
ERn_train_9,NEG,data3,2.971900706,2.202987534,2.215319394,-0.141593481,-1.255385875,0.308267655,-1.551206699,-1.302554238,1.153022181,-0.841341068,0.895431355,0.293823794,-0.938481986,0.548530157,-1.739201124,-0.164971471,-1.393607408,-2.950339973,-2.816443781,2.400536689,-0.166055499,1.045490241,-1.874126496,-0.748105322,1.29545394,0.711835883,0.299125095,1.099922192,-0.22244527,0.515385347,2.479454794,2.459498148,1.245502425,1.081117828,0.036235657,0.038887429,-1.010398173,-0.195765527,1.747222518,-0.028058871,-3.75811404,-0.764646074,-0.012456379,0.813220551,1.449840774,-2.843637994,0.343130945,0.083594749,1.672388414,-0.299052784,1.543692357,1.433146017,0.438642791,1.847450779,-0.4536917,-0.129825769,2.086339456,0.938527813,1.181317099,2.705743173,-1.50138135,-0.040386861,-2.17676157,2.696885483,0.458426653,-4.561802591,-1.290464771,-1.203304471,1.679339581,2.992634186,-2.22001732,1.371300912,-1.178900041,-0.051237517,1.329457129,1.42046595,-0.14913875,-0.57892011,-6.339868648,-0.897751762,-2.568944879,-0.324447038,0.557741011,-0.358182016,0.728743831,-1.547354033,-2.13041236,0.214095184,0.852746678,3.449031409,2.028950238,0.47949657,2.185401823,-0.481053675,-0.034367522,-0.359515555,-1.399471922,0.618532901,-1.701786245,2.127153814,1.609710614,1.653200837,1.24200213,-1.970958927,0.865352472,-0.429630531,0.256514036,1.933962433,0.431236664,-0.568858455,-0.564572973,-0.273812154,1.972374271,0.965183509,0.311604073,-0.493832429,-1.089026226,1.056851511,-0.409168936,0.820157304,-3.288578959,-0.108472051,-0.35644268,1.734862608,-0.115886832,1.172633631,1.27228886,3.494635191,1.110576057,-3.978558474,2.536779142,-1.621782715,-1.548176543,0.116831399,3.353118317,-0.545692124,-0.104459389,1.080898844,1.977093961,1.287488077,-0.546821129,0.352499816,-0.941217835,-0.493937371,-1.747584121,0.793210229,-1.278725209,0.194015866,-0.651092869,-0.310109585,0.074377266,-0.0844494,0.041096312,-0.31641633,1.055860463,2.990993759,0.676038504,0.188184891,-0.025347774,-0.990994852,0.439481289,2.348923172
ERn_train_10,NEG,data3,1.595684713,0.7203622,1.861629798,-0.443226955,-0.749281427,0.427357467,-0.876239534,1.498032568,2.140920123,-0.027570877,-1.306632746,-0.051055079,0.717420665,1.023803452,-0.801901653,-0.259578093,-1.186935185,-0.065592781,-0.986356626,1.696058834,-0.413876348,0.90836919,-1.810005834,-0.961640666,0.82566775,-1.095199101,-0.157376068,0.209514772,-1.603822446,0.69129635,1.576303487,2.230668197,1.386028771,1.008590947,0.557612846,1.592753794,-0.101833391,0.458295837,-1.153195643,1.565079918,-1.30045662,-1.659708429,-0.572902995,-0.824633245,1.097159243,-1.037601929,-0.538137497,-0.094437643,2.3326285,1.826755032,1.348871112,1.063646628,-0.433444875,0.162379584,-0.980191907,-0.422539693,0.600327556,0.286493675,-0.033728277,1.549881428,-0.641381908,-0.096704858,0.507058478,0.06345831,1.257929304,-0.706204128,-1.923773478,-1.203304471,0.916938599,-0.788767031,-0.041819674,1.084867029,0.194732902,0.454704433,1.063892227,-0.606948216,-0.616337642,-1.578676472,0.516262176,-1.488413669,-1.511834154,-0.988495316,0.557741011,-0.358182016,-1.687424924,-1.339965401,-0.642757407,0.301111953,0.158107202,1.008643715,1.505036703,-0.342711893,0.035271737,-0.962913365,-0.546037966,-0.27767838,0.237057842,-0.200344945,-1.583752492,-0.489377596,1.087091085,0.761580473,-0.220307293,-2.434214369,-0.287945164,0.358578556,0.348171126,0.790550123,0.053510386,-1.786750521,0.86523776,-0.779145119,1.159880958,1.621447716,2.739498009,-0.454388647,-0.883017372,1.269270665,0.030328794,-2.040627654,0.790688895,0.333781516,0.72473516,0.839930135,0.290809368,0.281201111,0.277615464,-1.324438495,1.256612801,-1.468898641,1.694435368,-1.089659931,0.142500181,-0.071894848,1.428281521,-0.209270157,-0.104459389,0.619642608,-0.250902474,0.334385938,-0.443714513,0.788905133,-0.295983091,-0.439250406,-1.029919013,-0.340751222,-0.179235217,0.723556861,-0.385959503,-0.353470452,0.108165058,-1.18071502,0.119593588,-1.763115435,-0.621607816,-1.121097467,0.099034789,-1.31527647,-0.637370502,-0.448882766,-0.90336162,0.408621149
